Tessasparkles,"@maddog596 - ""Do you think apples taste better whole or cut up?"" 😭 #ICantBreathe"
RoyceBristoluvi,#fuckthepolice #ICantBreathe
_nkemelo_23,RT @PieterScribante: Another unarmed black man was killed in the #USA. This is absolutely awful. No one can deny that there is a serious pr…
LReycone,"Me: all i want is you ?? Do you love me 
Girl :Yeah,
Me: Can you give me another chance??
Girl :No 

#ICantBreathe  #ithurtsyouknow"
Fed_Says_U_Die,http://t.co/J5ejTTxJp6 #WalterScott #ferguson #blacklivesmatter #ICantBreathe #FoxNews #smh #icymi #MichaelSlager #msnbc #progressives #abc
CorbinCarson,Looks like somebody might be made example of ... #WalterScott #Ferguson #ICantBreathe #BlackLivesMatter  https://t.co/Y1qZ9JAZj9
sickwhitedude3,RT @NavyDad0007: MT @Lowndeselections @TheVDT @WCTV @VDTcrime @ValdostaToday @VALHAPPENING #KendrickJohnson #Icantbreathe #FTP http://t.co/…
BobFabiani,RT @ReWyldStL: #WhitePrivilege #Ferguson #BlackLivesMatter #ICantBreathe http://t.co/LzPh3FpsZk
ndoni_yamanzy,RT @PieterScribante: Another unarmed black man was killed in the #USA. This is absolutely awful. No one can deny that there is a serious pr…
AugustEve2012,RT @WarOnBlackPpl: You don't have to be black to feel outraged! #ICantBreathe #EricGarner #Ferguson #racism #UniteBlue #LibCrib #p2 http://…
WandaBrendleMos,"#EricGarner
#MichaelBrown
#ICantBreathe

COPIED from Mustafa Abdullah

Michelle Alexander: ""So many videos, so... http://t.co/6obfO1kokk"
sickwhitedude3,RT @AnonCrips: @Lowndeselections @TheVDT @WCTV @VDTcrime @ValdostaToday @VALHAPPENING #KendrickJohnson #Icantbreathe #FTP http://t.co/wGTzJ…
sickwhitedude3,RT @shariline: @Lowndeselections @TheVDT @WCTV @VDTcrime @ValdostaToday @VALHAPPENING #KendrickJohnson #Icantbreathe #FTP http://t.co/uaWQc…
BadvocateK,RT @PieterScribante: Another unarmed black man was killed in the #USA. This is absolutely awful. No one can deny that there is a serious pr…
thandeka_m3,RT @PieterScribante: Another unarmed black man was killed in the #USA. This is absolutely awful. No one can deny that there is a serious pr…
STLeftist,RT @ReWyldStL: #WhitePrivilege #Ferguson #BlackLivesMatter #ICantBreathe http://t.co/LzPh3FpsZk
Now1Promotions,"Get Involved! ""WHAT’S GOIN’ ON” @ThisIsVersatile  http://t.co/Ts0ZypVal3 … #HandsUpDontShoot #ICantBreathe  #Now1Promo"
ammawhatt,"RT @MzKendraFoster: The Conversation ain't over. Love, #D'Angelo&amp;TheVanguard #blacklivesmatter #icantbreathe #justice #blackmessiah http://…"
escoflick,"Get Involved! ""WHAT’S GOIN’ ON” @ThisIsVersatile  http://t.co/zO9ehyye5P … #HandsUpDontShoot #ICantBreathe  #Now1Promo"
cowboys4122,"Get Involved! ""WHAT’S GOIN’ ON” @ThisIsVersatile  http://t.co/7pUEtCXf9i … #HandsUpDontShoot #ICantBreathe  #Now1Promo"
flick_boss,"Get Involved! ""WHAT’S GOIN’ ON” @ThisIsVersatile  http://t.co/fiIoWccLEe … #HandsUpDontShoot #ICantBreathe  #Now1Promo"
1YngDrmr,RT @CACU_CMU: #PoeticJustice2k15 #ICantBreathe http://t.co/u3XBBs0o2Y
shariline,RT @NavyDad0007: MT @Lowndeselections @TheVDT @WCTV @VDTcrime @ValdostaToday @VALHAPPENING #KendrickJohnson #Icantbreathe #FTP http://t.co/…
VisionaryBreezy,"RT @ThisIsVersatile: [#ACTIVIST #MUSIC] ""What's Goin' On"" by ♛VERSATILE♛™ (ThisIsVersatile) #HandsUpDontShoot #iCantBreathe Press ▶️ http:/…"
PieterScribante,Another unarmed black man was killed in the #USA. This is absolutely awful. No one can deny that there is a serious problem #ICantBreathe
Lda228,RT @NavyDad0007: MT @Lowndeselections @TheVDT @WCTV @VDTcrime @ValdostaToday @VALHAPPENING #KendrickJohnson #Icantbreathe #FTP http://t.co/…
NavyDad0007,MT @Lowndeselections @TheVDT @WCTV @VDTcrime @ValdostaToday @VALHAPPENING #KendrickJohnson #Icantbreathe #FTP http://t.co/OQ3GzN1Nep
mell0ncollie_,"#ICantBreathe
#BlackLivesMatter"
NavyDad0007,RT @AnonCrips: @Lowndeselections @TheVDT @WCTV @VDTcrime @ValdostaToday @VALHAPPENING #KendrickJohnson #Icantbreathe #FTP http://t.co/wGTzJ…
DrkChildOfLight,White cop charged with murder after shooting unarmed black man http://t.co/peCGiGr6yf #BlackLivesMatter #ICantBreathe #HandsUpDontShoot
I_Cant_Breathe_,HAHAHAHAHHAHA #icantbreathe  #catfished #dogfished #hair #luxurioushair #soshiny #funny #c… http://t.co/oz9AkegGzB http://t.co/iQCJ6XRSP2
I_Cant_Breathe_,Caskets. #art #socialadvocate #icantbreathe #poem #mixedmedia #artsy #portrait #thriveyall… http://t.co/JawKm0BYEw http://t.co/KaC27v7cdO
I_Cant_Breathe_,The flu is here #beensleepingfordays #feelingshit #icantbreathe 😣😣😣 by carli_vz http://t.co/mj0ceeac4D http://t.co/a26D54xDCy
ReWyldStL,#WhitePrivilege #Ferguson #BlackLivesMatter #ICantBreathe http://t.co/LzPh3FpsZk
millenniumbound,RT @norwind: #Walter L. #Scott execution | #BlackLivesMatter #ICantBreathe  http://t.co/jkpzykgIx4
CACU_CMU,#PoeticJustice2k15 #ICantBreathe http://t.co/u3XBBs0o2Y
ImanLondon,RT @mujer_cita_MIA: #Orta should be hailed a national hero for preventing another coverup of a murder committed by cops #FreeOrta #ICantBre…
jeffwired,Walter Scott’s family reacts to murder of their innocent son by SC cop http://t.co/nOc6gyouUF #tweko #Ferguson #ICantBreathe #FuckThePolice
minefield101,RT @WarOnBlackPpl: You don't have to be black to feel outraged! #ICantBreathe #EricGarner #Ferguson #racism #UniteBlue #LibCrib #p2 http://…
NavyDad0007,RT @WarOnBlackPpl: You don't have to be black to feel outraged! #ICantBreathe #EricGarner #Ferguson #racism #UniteBlue #LibCrib #p2 http://…
Humoritarian,@NBCNightlyNews soon blacks start killing cops and they're gonna be right #WalterScott #ICantBreathe
Amacutnso,RT @WarOnBlackPpl: You don't have to be black to feel outraged! #ICantBreathe #EricGarner #Ferguson #racism #UniteBlue #LibCrib #p2 http://…
m_aliffi,Social justice visual project #Ferguson #BlackLivesMatter #ICantBreathe #NoJusticeNoPeace http://t.co/5IfWgdmnL1
