yellowphipps,Tell President Obama that #KeystoneXL is NOT in our national interest #NoKXL https://t.co/TMZTOTINyH
Travtool,RT @PplOverPower: McConnell admits republicans are run by #KochBrothers http://t.co/pymmy7oi2J #KeystoneXL #NoKXL #UniteBIue #climatechange…
jlynneda,"RT @FirstPeoples: The #Corruption of #KeystoneXL, a new article on @truthout by FPW president Rebecca Adamson: http://t.co/zLppUcEtme #Indi…"
crazylary51,RT @PplOverPower: McConnell admits republicans are run by #KochBrothers http://t.co/pymmy7oi2J #KeystoneXL #NoKXL #UniteBIue #climatechange…
AdvocateBratty,RT @PplOverPower: McConnell admits republicans are run by #KochBrothers http://t.co/pymmy7oi2J #KeystoneXL #NoKXL #UniteBIue #climatechange…
Searean2,"RT @FirstPeoples: The #Corruption of #KeystoneXL, a new article on @truthout by FPW president Rebecca Adamson: http://t.co/zLppUcEtme #Indi…"
AdvocateBratty,"RT @PplOverPower: #fossilfuels gave $250,000 2each of the 62 senators who voted yes on #KeystoneXL http://t.co/jFYpK5j47n #UniteBlue #clima…"
Best4MT,RT @RepRyanZinke: Don’t let Gateway Pacific become next #KeystoneXL #mtpol #jobs http://t.co/9BozH7fTFh
nejobsandenergy,#KeystoneXL would help enhance our booming energy sector. #Jobs #EnergySecurity
FirstPeoples,"The #Corruption of #KeystoneXL, a new article on @truthout by FPW president Rebecca Adamson: http://t.co/zLppUcEtme #Indigenous #CSR"
judyjmt,RT @RepRyanZinke: Don’t let Gateway Pacific become next #KeystoneXL #mtpol #jobs http://t.co/9BozH7fTFh
SammyCatania,RT @PplOverPower: McConnell admits republicans are run by #KochBrothers http://t.co/pymmy7oi2J #KeystoneXL #NoKXL #UniteBIue #climatechange…
keystonexl,"No Keystone XL? No Problem: About a month ago, I wrote an article on President Obama's veto of the... http://t.co/1vOQhypYYj #KeystoneXL"
keystonexl,"Jeb Bush praises fracking, Keystone XL at Denver energy gathering: Jeb Bush praises fracking, Keys... http://t.co/aVxXFVh9EN #KeystoneXL"
buffaloon,RT @PplOverPower: McConnell admits republicans are run by #KochBrothers http://t.co/pymmy7oi2J #KeystoneXL #NoKXL #UniteBIue #climatechange…
joniernstr,Tell President Obama to sign #KeystoneXL into law. Vetoing is not an option. Add your name: http://t.co/r61Rcxl2gG  http://t.co/HRtKVtEnN0
parislady1492,RT @PplOverPower: McConnell admits republicans are run by #KochBrothers http://t.co/pymmy7oi2J #KeystoneXL #NoKXL #UniteBIue #climatechange…
Kipp76,Tell President Obama that #KeystoneXL is NOT in our national interest #NoKXL https://t.co/Wucx7Wn33S
enzo7466,"RT @NRDC: Canada’s Energy East pipeline is in big trouble, just like #KeystoneXL and Northern Gateway. http://t.co/qPSdvxAxdb"
jebocanegra1,RT @PplOverPower: McConnell admits republicans are run by #KochBrothers http://t.co/pymmy7oi2J #KeystoneXL #NoKXL #UniteBIue #climatechange…
jebocanegra1,"RT @PplOverPower: #fossilfuels gave $250,000 2each of the 62 senators who voted yes on #KeystoneXL http://t.co/jFYpK5j47n #UniteBlue #clima…"
sweetangelface,RT @PplOverPower: McConnell admits republicans are run by #KochBrothers http://t.co/pymmy7oi2J #KeystoneXL #NoKXL #UniteBIue #climatechange…
deniseizac,RT @PplOverPower: McConnell admits republicans are run by #KochBrothers http://t.co/pymmy7oi2J #KeystoneXL #NoKXL #UniteBIue #climatechange…
shorterdigital,RT @EnergyDeborah: @EnergyCollectiv #KeystoneXL merely a choice between the lesser of two evils: oil sands vs. Arctic? @EnergyDeborah http:…
MonsterMarcia,"RT @PplOverPower: #fossilfuels gave $250,000 2each of the 62 senators who voted yes on #KeystoneXL http://t.co/jFYpK5j47n #UniteBlue #clima…"
MonsterMarcia,RT @PplOverPower: McConnell admits republicans are run by #KochBrothers http://t.co/pymmy7oi2J #KeystoneXL #NoKXL #UniteBIue #climatechange…
EnergyDeborah,RT @EnergyCollectiv: #KeystoneXL Traded For Arctic Drilling Rights? @EnergyDeborah http://t.co/cnr4bNAF6d
ashleyannsobota,"RT @TransCanada: Keystone President, Corey Goulet: Our shippers remain strongly in favour of #KeystoneXL. #TimeToBuild #KXL @WSJ http://t.c…"
gunnerpipeline,'LIKE' Gunner Pipeline Consulting Inc. over on #Facebook #Pipelines #oilgas #kxl #KeystoneXL #NorthernGateway http://t.co/Po2eViwRkp
MontanaGOP,RT @RepRyanZinke: Don’t let Gateway Pacific become next #KeystoneXL #mtpol #jobs http://t.co/9BozH7fTFh
energy_window,sandesh: #KeystoneXL Traded For Arctic Drilling Rights? EnergyDeborah http://t.co/foBsUJPqQb
LWVMarin,Take part in the democratic process and express your opinion about the Keystone XL pipeline #lwv #KeystoneXL  https://t.co/1emgPOITub
elizabeth5363,RT @EnergyCollectiv: #KeystoneXL Traded For Arctic Drilling Rights? @EnergyDeborah http://t.co/cnr4bNAF6d
pj6969pj,Tell President Obama that #KeystoneXL is NOT in our national interest #NoKXL https://t.co/GTAnH3ydS4 FOSSIL FUELS R NOT IN ANYBODYS INTEREST
WdesRosiers,RT @MTPetroleum: Montana Congressman: Don’t let Cherry Point terminal become next #KeystoneXL | Politics Blog | The Bellingham Herald http:…
ronniedog2,RT @EnergyCollectiv: #KeystoneXL Traded For Arctic Drilling Rights? @EnergyDeborah http://t.co/cnr4bNAF6d
EnergyCollectiv,#KeystoneXL Traded For Arctic Drilling Rights? @EnergyDeborah http://t.co/cnr4bNAF6d
AFPMonline,The browning of California’s green movement: http://t.co/5gg40f093n #KeystoneXL http://t.co/xqwWhqfBad
MTPetroleum,Montana Congressman: Don’t let Cherry Point terminal become next #KeystoneXL | Politics Blog | The Bellingham Herald http://t.co/5qSMZnJQur
SocialNewsCorp,RT @SocialSenate: #Social #KeystoneXL @SocialNewsCorp http://t.co/sAfZqjs2HD Via #Twitter @LibertymomA @jdubb_TTI @CosmicJetBlack
