LeoOfMars,#Tsarnaev guilty on all 30 counts in #BostonBombing. Which #Liberal university will be first to invite him to be a commencement speaker?
CAspeaks,@jstines3 @RedHatGeek so Obama does not mind being the #Token black among #Liberal #Rich!
captainkkelly,Your typical dumbass #Liberal http://t.co/JUoedU7nOi
BWolmers,RT @WmWallace1911: Will it eventually come to this? #tcot #LiberalLogic #Liberal #really #icanteven #BlackLivesMatter #LGBT #feminists http…
AndyUSA1776,"RT @Boston_Bull: To all bleeding heart #Liberal A-Holes, take a hard look at this pic from #bostonbombing when opposing death penalty http:…"
WmWallace1911,"#tcot #Liberal #WakeUpAmerica #feminism #wakeupliberals #wakeupfeminists 
#womenshealth #WomenAgainstFeminism http://t.co/0HXiYDo0e2"
BmanK55,"@JusticeWillett @billpostmus So, they actually blamed his PERSONAL actions on his family? How #liberal of them. #dumbassery"
Sharpestick,@JustinTrudeau #lying #liberal #liars telling #lies.
tvigy2,"RT @Boston_Bull: To all bleeding heart #Liberal A-Holes, take a hard look at this pic from #bostonbombing when opposing death penalty http:…"
karlak916,"RT @Boston_Bull: To all bleeding heart #Liberal A-Holes, take a hard look at this pic from #bostonbombing when opposing death penalty http:…"
1stAirDel_USMCR,"The #RFRA Battle Exposed A Dangerous Truth http://t.co/E0YUA9z46P #Liberal Fascism is very real. #Democrats dig it, #HomoFascists bring it."
Boston_Bull,"To all bleeding heart #Liberal A-Holes, take a hard look at this pic from #bostonbombing when opposing death penalty http://t.co/Djvhyp7s0k"
diamampil,RT @dorothysredmocs: #LeonardPeltier and the Indian struggle for freedom http://t.co/UdvcPijvjM #AmericanIndianMovement #Latism #democracy …
Jimbo679,RT @StandingOnGuard: Now I'm wondering if sending carbon copies and bcc in my emails will increase the carbon tax I have to pay to #Liberal…
StandingOnGuard,Now I'm wondering if sending carbon copies and bcc in my emails will increase the carbon tax I have to pay to #Liberal  #wynn #cdnpoli
