OHTHATS_DJ,RT @Bipartisanism: Funds to help the killer cop are being raised by racists who also supported #MemoriesPizza  #WalterScott. Report it. htt…
RonJonnie5,@RezOKC Exactly. #MemoriesPizza routinely serves gays. They just don't want to stand around at a gay wedding. Seems reasonable.
josephbenning,RT @WallyPerko1: @DLoesch @LawrenceBJones3 @BenHowe God Bless my fellow Hoosier and all of #MemoriesPizza supporters!
LibertyBelleCJL,RT @DLoesch: FUNDS TRANSFER COMPLETED. #MemoriesPizza @LawrenceBJones3 @BenHowe #DailyDana http://t.co/uPgXH5HLTt
RyneARichardson,RT @Bipartisanism: Funds to help the killer cop are being raised by racists who also supported #MemoriesPizza  #WalterScott. Report it. htt…
RellzRantz,RT @Bipartisanism: Funds to help the killer cop are being raised by racists who also supported #MemoriesPizza  #WalterScott. Report it. htt…
Salcan1967Sal,"RT @RedNationRising: #MemoriesPizza Sharing Their Good Fortune With Washington Florist, &amp; Others! http://t.co/kgEDKUryor #RedNationRising h…"
kakeenan,"RT @NorwoodTeaParty: Yay #MemoriesPizza http://t.co/YJ8QG3MdFp 
@WayneDupreeShow @FrankDCamp @Kevin3505 @AppSame @BillPeriman  @dhiggins63 …"
RVinnyT,RT @Bipartisanism: Funds to help the killer cop are being raised by racists who also supported #MemoriesPizza  #WalterScott. Report it. htt…
mrsk32407,RT @Bipartisanism: Funds to help the killer cop are being raised by racists who also supported #MemoriesPizza  #WalterScott. Report it. htt…
PhilDeCarolis,RT @DLoesch: FUNDS TRANSFER COMPLETED. #MemoriesPizza @LawrenceBJones3 @BenHowe #DailyDana http://t.co/uPgXH5HLTt
An0nym0u5v3c7oR,RT @Bipartisanism: Funds to help the killer cop are being raised by racists who also supported #MemoriesPizza  #WalterScott. Report it. htt…
ShendiAhmed,"RT @MilanLjubincic: ""It started two days ago. It is called #Pizza4Equality."" RT @CyndiLauper ღ #LGBT #MemoriesPizza http://t.co/WGH5yFT3OZ"
ComfyPaws,RT @thesavvy: .@sallykohn and #MemoriesPizza didn't break any laws. No one walked in and order pizza for their gay wedding. Idiot.
DaveKlucken,@mikemckenna19 At least the woman at #MemoriesPizza was more honest than she's Ever been.
jsavite,"Bigotry is profitable. 

BOOM. 😂😂 
#MemoriesPizza 
@charulife"
JoylynBest,RT @Bipartisanism: Funds to help the killer cop are being raised by racists who also supported #MemoriesPizza  #WalterScott. Report it. htt…
FrankDCamp,"RT @NorwoodTeaParty: Yay #MemoriesPizza http://t.co/YJ8QG3MdFp 
@WayneDupreeShow @FrankDCamp @Kevin3505 @AppSame @BillPeriman  @dhiggins63 …"
josephbenning,RT @JoeDunn8: Does @tynanwrites want to let his reader(s) know that @DLoesch transferred all funds to #MemoriesPizza? https://t.co/PzkxIOjr…
PuestoLoco,RT @Bipartisanism: Funds to help the killer cop are being raised by racists who also supported #MemoriesPizza  #WalterScott. Report it. htt…
OnlyWhiteTiger,RT @Bipartisanism: Funds to help the killer cop are being raised by racists who also supported #MemoriesPizza  #WalterScott. Report it. htt…
Pashti,RT @Bipartisanism: Funds to help the killer cop are being raised by racists who also supported #MemoriesPizza  #WalterScott. Report it. htt…
