bar1scorpio,"Because women say the like men who are funny, but run away from me every time I dress up like a clown in the middle of the night
#Meninism"
bar1scorpio,"@Silentartisan Here:
Because women insist on taking everything from men, even without being married first! #Meninism http://t.co/UBu8v97x2C"
MakeItReyna17,@Emmmaaaa14 and it takes a man to be strong and capable. #meninism
bar1scorpio,@Silentartisan Worse.  Go upthread.  Tumblrina's are trying to say that feminists came up with #Meninism to mock men.
bar1scorpio,"People judge me whenever I'm in public wearing a beard, flannel shirt, suspenders, &amp; an ax.
I was born this way! #LumberSexual #Meninism"
bar1scorpio,"Because it's socially acceptable to belittle men, when we should work on embiggening them

What?

It's a perfectly crumulent word.
#Meninism"
bar1scorpio,"Because for sex, she wants me to dress up like The Joker, Doctor Who &amp; Edward Cullen.
All at once.
That's why I need #Meninism
#Meninist"
manabaggs,"@melaurney 

#meninism #getwiththeprogram #L7WEENIE"
stephmarky,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
literallycar,RT @maysonkschmidt: #YesAllMen #Meninism #meninist  https://t.co/dqv1FPbqVP
SaintGabriel23,Treat me with respect like very other normal person. This is why I need #Meninism
aliyahvanpelt,RT @meninismreal: What should be done when someone is a victim of #MaleRape vs what is actually done. #Rape #Feminism #Meninism http://t.co…
maysonkschmidt,#YesAllMen #Meninism #meninist  https://t.co/dqv1FPbqVP
politicaljunki9,"I love that meninism keeps going and going and going

#meninism"
dirtycIoud,@catholicspit THAT Is Why We #Meninism
Carter_Stam,I'd love to hear what @MeninistTweet has to say about the new dress code #meninism #menmattertoo
MakeItReyna17,@Emmmaaaa14 @SaltyHairGel I need #meninism because Emma is queer
NotEmmaStirr,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
artincircles,"Smh. Here, for balance, #meninism. RT @applejill #misandry"
Ulvenson,#Meninism http://t.co/3D4rBrkebg
ShawnE26DNB,RT @YugiohSlavia: Why does the guy always have to swag? Why can't the girl provide the swag for once? #Meninism
Reed_Wilhite7,@Murrrryy How inconsiderate of me. My deepest apologies..#meninism
MC_hammerdd,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
YugiohSlavia,Why does the guy always have to swag? Why can't the girl provide the swag for once? #Meninism
gabeldonovan,The difference between #meninism and #feminism is that meninists want total dominance and feminists want equality
downtheallie,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
chellerrrrss,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
puppyqueeen,RT @meninismreal: What should be done when someone is a victim of #MaleRape vs what is actually done. #Rape #Feminism #Meninism http://t.co…
meninismreal,What should be done when someone is a victim of #MaleRape vs what is actually done. #Rape #Feminism #Meninism http://t.co/8BgBlTW8m7
kade_hunter,"Modern day ""feminism"" is such bullshit. #feminism #meninism #bullshit #privilagedoesntexist #wakeupfolks"
BLH_Productions,The Stupid Chronicles: Meninism Is Also Retarded: https://t.co/3dUrmzFxjs via @YouTube #Meninism #GamerGate #feminism
YupImCJ,"@BettysRoom I represent myself Nama. Quit trying to generalize me. I'm a man, doesn't mean I'm like everyone else and conform. #meninism"
agallina9,"RT @milktthew: me: feminism is about equality between women and-
meninist: NO Y DO GIRLS SAY NO 2 ME WHEN I ASK 4 NUDES #meninism"
JennaDonawho,@JakeIsFine #meninism #equality
Ruralrighton,"RT @hernamewaselrod: i really would care about some of these ""mens issues"" if you didn't only bring them up to derail feminist issues. so t…"
kim_portant,#meninism http://t.co/BKwweMaoih
Brendanjboylan,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
nanayasleeps,"RT @hernamewaselrod: i really would care about some of these ""mens issues"" if you didn't only bring them up to derail feminist issues. so t…"
KatPolowczyk,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
Padre_Houston,"""@st0nadee: Aw hell naw https://t.co/2KIMlkwn8l""
#meninism"
zzzG94,@fvckpnasty @princessg4y #meninism
tendershippin,RT @agentfitz777: OOPS MY HAND SLIPPED #meninist #meninism #whiteboys #whiteboysbelike HAHAHAHA  https://t.co/z6RNL5i09L
ToriWilson15,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
TheaterBaby16,"RT @milktthew: me: feminism is about equality between women and-
meninist: NO Y DO GIRLS SAY NO 2 ME WHEN I ASK 4 NUDES #meninism"
AnnieKNK,which candidate will have the courage to state an unconditional commitment to #meninism
ErvBomb,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
goivox,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
Cement3000,does no always mean no? discuss #philosophy #femenism #meninism  #equality
Tylerthebook,Why do people pray to the mother Mary and not Joseph? #meninism
cherimcelwee,RT @Ekinn_Bayram: #feminism vs #meninism http://t.co/e2TTx1jGzo
ghostprincessjo,True. #meninist #Meninism #Antifeminism #whatudoin http://t.co/EYqcwVmOM3
jackiegarbe,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
thishappyhippie,"RT @milktthew: me: feminism is about equality between women and-
meninist: NO Y DO GIRLS SAY NO 2 ME WHEN I ASK 4 NUDES #meninism"
umazing_,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
Ryan_Deitsch,161 million women in America and 156.1 million men. The minority needs help. #Meninism @TheMeninist
Jordanalexa728,I get #meninism is *mostly* sarcastic but there are some *real* people out there who advocate for it and that's scary http://t.co/1Ew1Mpwdc3
rachelbyrdie5,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
kohnjennedy,Sometimes women expect us men to make the food and that is just not fair. 😡 #meninism #meninist #feminism #WakeUpAmerica
ammarshindong,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
Rachel_Moore96,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
erinmarhefka,@marscrumbs just keep fighting for #meninism and belittling women ¯\_(ツ)_/¯
aIexfountain,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
natereynolds98,"RT @BasedGodNorthy: if a guy has an opinion hes a rapist 
if a girl has an opinion shes a feminist 

#yesallmen #meninism"
milktthew,"me: feminism is about equality between women and-
meninist: NO Y DO GIRLS SAY NO 2 ME WHEN I ASK 4 NUDES #meninism"
Lissayourstruly,RT @VirginAssNigga: #Meninism
Beatlemaniac347,"RT @TMDavis84: ""Come celebrate girl power"" lmao. #Meninism"
homyunicorn,I bet over 80% of these pretty girls talking about #Meninism nowadays can't even define the word .
TubaBoy300,#Meninism is as stupid and unneeded as the KKK and the Westboro Baptist Church.
ikilledyourvibe,"RT @hernamewaselrod: if u care so much about men being forced to fight in wars, then why are you not fighting to end wars? #Meninism"
hernamewaselrod,"if u care so much about men being forced to fight in wars, then why are you not fighting to end wars? #Meninism"
sheikyerbouti_,"RT @hernamewaselrod: i really would care about some of these ""mens issues"" if you didn't only bring them up to derail feminist issues. so t…"
hernamewaselrod,if you're truly for all men then why do your followers who wear your tshirt seem to be exclusively white cis men? #Meninism
hernamewaselrod,[CN rape] u only care about male rape when trying to derail feminists talking about the rape epidemic that's happening to women. #Meninism
TMDavis84,"""Come celebrate girl power"" lmao. #Meninism"
funsponging,"RT @hernamewaselrod: i really would care about some of these ""mens issues"" if you didn't only bring them up to derail feminist issues. so t…"
Bubblenoma,"RT @hernamewaselrod: i really would care about some of these ""mens issues"" if you didn't only bring them up to derail feminist issues. so t…"
AnalGender,"RT @hernamewaselrod: i really would care about some of these ""mens issues"" if you didn't only bring them up to derail feminist issues. so t…"
hernamewaselrod,"i really would care about some of these ""mens issues"" if you didn't only bring them up to derail feminist issues. so transparent. #Meninism"
ARB1690,"RT @Syazwan101: Equality, not superiority 
#meninist #meninism 
#feminist #feminism http://t.co/ipOurAeYV6"
Syazwan101,"Equality, not superiority 
#meninist #meninism 
#feminist #feminism http://t.co/ipOurAeYV6"
marscrumbs,"Standing up to physical abuse with predictable results.
#feminism #meninism #MRA #NotAllMen #YesAllWomen http://t.co/vooUBsaRQn"
marscrumbs,@ZoyaRanting We need #meninism cause it it acceptable to belittle men and to maximum belittle #meninist men and women.
Bran_Hutchins,Without #meninism feminists would be free to leave any image in the past and out of the situation and actually work towards a goal.
L7flyborg,#meninism (Vine by @OkImDante) https://t.co/T5i87U5ul8
sierrajacksonn,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
sarahhgarland,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
Ltisch_Amos,"#Meninism 'Why is it always ""Yo' Mamma so fat...""? Nobody cares about Dad's health issues."
bbzaftig,"RT @wdsshhrc: Goals of #feminism -Promote gender equality, provide social change
Goals of #meninism -Mock females, glorify males, halt chan…"
The_Greatest666,"""@KingRyin: I would have her quick hands smh http://t.co/avhsukSRGR"" I swear I would have knocked her right out. #Meninism #EqualityForMen"
princesstarynns,@idajuggernaut #meninism
Damion1620,@_ohlawwwd @Sandman6935 @JTRAIN_24 @Jenicaca women have to wear 1 pieces #meninism
wdsshhrc,"Goals of #feminism -Promote gender equality, provide social change
Goals of #meninism -Mock females, glorify males, halt change"
oh_itsjonathan,"Thanks, #meninism https://t.co/8tn204x0il"
ParmesanWedge,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
josh_norman6,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
shesaidd_,RT @Groundislava: #meninism is just a troll thing right lol
caterinadong,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
ZaneSeuser,#Meninism
BrockingBad,@MeowMaggiee #Meninism
amir_taban,"Dirty minded guy=pervert 
Dirty minded girl=sexy 
We need #Meninism 
#equality #sexism 
@MeninistTweet"
AlcottJake,@ChristophClarke #Meninism
Christian_Mira1,RT @VirginAssNigga: #Meninism
aesthetic__god,#meninism does nothing for men
aesthetic__god,#meninism is a joke and a mockery of feminism
aesthetic__god,#Meninism is a joke lmfao
Jake38_Nine9,"""@WriterMarl: Look at all my male privileges. http://t.co/xTUGCgBWt7""
Exactlyyy! And yet women complain about #sexism?? #Meninism #EQUALITY"
cerealwarz,Lmao amirite??? #meninism #mlady http://t.co/mjnUQPeOEB
jfckingsley,@wydbennett #meninist #meninism
monahancatie,@Patrick_Falco #meninism
SamStratt,"Well since I'm not a whipped woman worshiper, I MUST be a rape crazed misogynist. The patriarchy will live as long as democracy #Meninism"
BlueCapesM,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
ashtonxstyless,"RT @MT8_9: #Meninism is a joke.

Can still do math better than #Feminism.

#Meninist #MeninistTwitter
#WomenAgainstFeminism #MRA http://t.c…"
Vandydeoraj,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
magicwhitebread,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
stephhaners,RT @Groundislava: #meninism is just a troll thing right lol
HannahHajost,RT @Groundislava: #meninism is just a troll thing right lol
vvoeun,ignorance is what it is.. 😕 RT “@Groundislava: #meninism is just a troll thing right lol”
schilukuri1,RT @NoToFeminism: I don’t need femisnsns i think #meninism is a great movement it is about time young straight white men have a voice
sleeepycurtis,RT @Groundislava: #meninism is just a troll thing right lol
_Evenewcombe,I need #Meninism because Transformers promotes an unrealistic body type for men! 😠🙅
IH8URBONES,RT @Groundislava: #meninism is just a troll thing right lol
choetsui,RT @Groundislava: #meninism is just a troll thing right lol
Groundislava,#meninism is just a troll thing right lol
