upandininLV,"""I have insurance, I might as well use it while I can..."" #Obamacare"
soccbballmom,RT @FFRNNU: #FFRNN #CLASSROOM #TAXES The Hidden #Obamacare Taxes That  Will Crush The Middle Class #UNITEBLUE  http://t.co/QxJZVkuwJ9
JUDAHsCHILDREN,RT @FFRNNU: #FFRNN #CLASSROOM #TAXES The Hidden #Obamacare Taxes That  Will Crush The Middle Class #UNITEBLUE  http://t.co/QxJZVkuwJ9
FFRNewsNet1,RT @FFRNNU: #FFRNN #CLASSROOM #TAXES The Hidden #Obamacare Taxes That  Will Crush The Middle Class #UNITEBLUE  http://t.co/QxJZVkuwJ9
TonyPhyrillas,RT @DailySignal: #Obamacare’s $800 Billion Tax Hike Explained in One Chart - http://t.co/Padx0NBfFh http://t.co/kQEhkDJXgG
progunbobby,#gunsense RT FFRNNU: #FFRNN #CLASSROOM #CONSTITUTION  #ObamaCare Not Law of The Land ONLY House Can Tax! #PJNET http://t.co/YkjRdQ695D
bwtanker,"RT @PMgeezer: The type of individual #Obama wants to sign up for #Obamacare can be seen on the show #Cops. 
#GoodLuckWithThat #EnrollmentsH…"
pherpogi_,@unikayy jk obama cares for all #obamacare http://t.co/Oe9dwAcmFz
1kenwilson24,"RT @PMgeezer: The type of individual #Obama wants to sign up for #Obamacare can be seen on the show #Cops. 
#GoodLuckWithThat #EnrollmentsH…"
BigBobDC68,"RT @PMgeezer: The type of individual #Obama wants to sign up for #Obamacare can be seen on the show #Cops. 
#GoodLuckWithThat #EnrollmentsH…"
PMgeezer,"The type of individual #Obama wants to sign up for #Obamacare can be seen on the show #Cops. 
#GoodLuckWithThat #EnrollmentsHitWall"
TheUofofan,RT @PMgeezer: #Obamacare enrollment appears to have hit the wall http://t.co/g52nmaMQKp
RockDocInLV,RT @Politicore: #ScottWalker sees big rise in health insurance premiums under #BarackObama - http://t.co/f4w4hcc3OB #ACA #Obamacare #politi…
PMgeezer,#Obamacare enrollment appears to have hit the wall http://t.co/g52nmaMQKp
