RT @beckert70: @Mozi_N Rove should be PAYING to spout his vile to any crowd! #1 jerk
"RT @longhaul52: @Mozi_N @Margaretherapy the problem is too many people enjoy the screwing they get from the GOP, that's why they keep votin…"
"RT @NikitaKitty: @Mozi_N Repubs don't get it ""A citizen of America is a citizen of t/gen'l govt, &amp; is a citizen of  t/particular State in w…"
"RT @NikitaKitty: @Mozi_N  The general government is not an assemblage of States, but of individuals."
"RT @NikitaKitty: @Mozi_N n forming t/genl govt we must forego local habits &amp; attachments, lay aside our State connections,&amp; act 4 the genl …"
"Beware of #ALEC Legislators ""Copy/Paste"" Press Releases http://t.co/fMahVRDVIp #UniteBlue #CTL #OFA #TCOT #P2 20vote16® #P2B #Young #1u"
We didn’t elect #ALEC or BIG corporations to represent us http://t.co/8Ma8ztcxaz  #UniteBlue #CTL #OFA #TCOT 20vote16® #Young #1u #UB #Koch
#Koch Brothers &amp; #ALEC Target SeaTac $15 an Hour Minimum Wage Initiative http://t.co/B6XqYFAJui  #UniteBlue #CTL #OFA #TCOT 20vote16® #Young
"#ALEC: Opposing efforts to go after child sex trafficking, supporting efforts to restrict abortion http://t.co/OqLweqQPzO #CTL #OFA #UB #P2B"
#Costco's CEO Explains How They Make RECORD PROFITS http://t.co/Ps8ilGt7M0  #ALEC #UniteBlue #CTL #OFA #TCOT 20vote16® #Young #1u #UB #Koch
CEO Pay Went Up 16% Last Year -- How Much Did Your Pay Go Up? http://t.co/9HlBlTzVH2  #UniteBlue #CTL #OFA #TCOT #P2 #UB 20vote16® #Young
"#Koch bros' illegal campaign finance network exposed, fined http://t.co/NLqYpOvAac via .@TeamsterNation #Ub #CTL #OFA  20vote16® #TNTweeters"
Fascism the Founding Fathers Never Imagined http://t.co/sAG8xc63j6  #ALEC #UniteBlue #CTL #OFA #TCOT #P2 20vote16® #P2B #Young #1u #UB #Koch
#ALEC Privatization of Education Scheme - A Failure http://t.co/2VMlugJhJf  #UniteBlue #CTL #OFA #TCOT #P2 20vote16® #P2B #Young #1u #UB
Shut It All Down:Report Calls4 NationwideBan on #Fracking http://t.co/ufdouqjfal  #UniteBlue #CTL #OFA #TCOT #P2 20vote16® #P2B #Young #ALEC
#ALEC Legislators &amp; Their #Fracking Corporate Benefactors http://t.co/tuFl1ynlHx  #UniteBlue #CTL #OFA #TCOT #P2 20vote16® #P2B #Young #1u
#ALEC's Achilles Heel: #Unions Help The Middle Class http://t.co/E8QbmsDCBm  via .@Cog_Dis  #UniteBlue #CTL #OFA #TCOT #P2 20vote16® #P2B
What Walker/GOP do when they need positive voucher school study: Pay major donors 2 do the research http://t.co/9uKMe5oqv5 #UB #CTL #OFA #P2
"Public Schools outperform ""parents know what's best"" Voucher Schools! http://t.co/Uij8eNIp0W  #UniteBlue #CTL #OFA #TCOT #P2 20vote16® #ALEC"
Without Pre-Funding Obligations The USPS Would Profit How Much? http://t.co/VZLMUvQbQl  #SaveUSPS #UniteBlue #CTL #OFA #TCOT #P2 20vote16®
